om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,business_fat,church_fat,school_fat,permstructure_fat,outside_fat,vehicle_fat,male_fat,female_fat,unknown_gender,fat_under18,fat_18t44,fat_45t64,fat_over65,unknown_age,loss,closs,slat,slon,elat,elon,len,wid,fc,DateTim,Hour,Year,Length,Width,cas,AreaPth,Ma,ED,ID,TotalPp,TotalMl,MlUnd18,Ml18t44,Ml45t64,MlOvr65,TotlFml,FmlUn18,Fml1844,Fml4564,FmlOv65,White,Black,TtlHsnU,MoblHms,MdnIncm
664,1997,3,1,1997-03-01,1:00:00,3,MS,28,12,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1,0,34.1,-89.22,34.37,-88.88,15,400,0,1997-03-01 1:00:00,1,1997,24140.1,287.2672322,5,6934659.713,Mar,340906501574,246,392.6697654,185.9381989,53.19483278,71.5329111,39.05241435,23.44031934,206.7315665,52.19918654,75.06642777,42.83733633,35.34633721,321.9634009,63.04263481,162.586638,23.25104064,42813.51846
150,1997,3,1,1997-03-01,14:20:00,3,AR,5,4,4,100,6,2,2,2,0,1,0,0,0,0,1,2,4,0,2,1,3,0,0,0,0,33.9,-93.33,34.15,-93.02,27,1053,0,1997-03-01 14:20:00,14,1997,43452.18,756.2309889,106,32859885.05,Mar,3220263271402,251,827.3316899,393.7030348,104.2686536,162.6467797,76.04407484,56.59875288,433.6286551,93.1811239,170.0131586,87.26384867,77.31529769,549.3302978,254.7712,378.2380125,51.4389571,38623.75176
156,1997,3,1,1997-03-01,15:25:00,3,AR,5,11,4,40,10,4,3,3,0,0,0,0,0,3,0,5,5,0,1,2,6,1,0,0,0,34.52,-92.52,34.65,-92.35,14,1407,0,1997-03-01 15:25:00,15,1997,22530.76,1010.462489,50,22766487.84,Mar,2231112022795,255,5600.964324,2671.936172,866.4506335,1099.395268,514.8398546,189.5575186,2929.028152,865.9468529,1251.648368,579.0915462,234.034282,3333.198294,2086.302828,2182.005994,389.3824169,56953.62776
168,1997,3,1,1997-03-01,15:25:00,3,AR,5,12,2,30,2,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,35.43,-91.58,35.55,-91.5,8.5,1053,0,1997-03-01 15:25:00,15,1997,13679.39,756.2309889,32,10344778.63,Mar,682016713963,256,86.98002963,43.54107292,11.13300042,15.64379865,11.43114361,4.954693388,43.43895671,10.76952354,15.21733274,11.78191181,6.048625463,85.27490574,0.290625297,37.76895391,11.36401508,36356.10604
161,1997,3,1,1997-03-01,15:41:00,3,AR,5,17,4,180,5,2,1,2,0,1,0,0,0,0,1,3,2,0,0,0,3,2,0,0,0,34.62,-92.35,34.75,-92.2,11,1407,0,1997-03-01 15:41:00,15,1997,17702.74,1010.462489,185,17887954.73,Mar,1753016589339,259,2745.962783,1299.933587,393.6217426,480.508668,280.4633204,157.5343773,1446.029196,394.1342496,506.4971792,317.7493101,215.453936,1049.920649,1643.325359,1197.3268,173.3530712,34885.10372
170,1997,3,1,1997-03-01,15:42:00,3,AR,5,18,2,30,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,35.6,-91.37,35.82,-91.03,23,880,0,1997-03-01 15:42:00,15,1997,37014.82,631.9879109,31,23392918.77,Mar,1542262252456,260,578.5498571,267.3097341,72.08974646,93.10784183,61.93875847,44.32574848,311.240123,73.38358298,100.8997178,68.96001624,63.84444484,458.1702251,114.0507609,261.9159661,19.94441721,35200.53037
671,1997,3,1,1997-03-01,16:45:00,3,AR,5,26,3,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,35.98,-90.83,36.2,-90.35,15,200,0,1997-03-01 16:45:00,16,1997,24140.1,143.6336161,6,3467329.857,Mar,299848106297,264,100.5111204,49.91924381,13.04458897,19.38451321,12.12940269,5.055101878,50.5918766,13.1410292,19.52056909,12.06655629,6.169359066,97.66337677,0.02621373396,40.8025553,10.28557738,42606.13506
675,1997,3,1,1997-03-01,19:00:00,3,TN,47,20,4,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,35.95,-89.67,36.12,-89.18,15,200,0,1997-03-01 19:00:00,19,1997,24140.1,143.6336161,16,3467329.857,Mar,339797749436,265,485.6659376,225.1969794,58.74593575,88.58521534,50.07593191,31.2704159,260.4689582,60.39865185,93.8541738,54.35849358,48.37711945,431.1239342,48.5970157,217.427405,8.805062073,48030.73984
649,1997,3,28,1997-03-28,19:04:00,3,KY,21,15,3,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.4,0,37.37,-85.92,37.43,-85.77,9,1200,0,1997-03-28 18:04:00,18,1997,14484.06,861.8016967,15,12482387.48,Mar,1079453182669,267,146.3479045,72.38799378,19.60009552,27.66082193,16.22155537,8.790291734,73.95991072,19.87679853,28.17055626,15.32255161,10.70523355,144.1986084,1.148176688,63.67552341,15.41915297,35492.06585
94,1997,3,28,1997-03-28,20:15:00,3,KY,21,22,2,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,37.18,-85.32,37.22,-85.08,10,200,0,1997-03-28 19:15:00,19,1997,16093.4,143.6336161,7,2311553.238,Mar,152397455776,269,31.75487591,15.92282826,4.169261767,5.818284993,3.761708846,1.997559532,15.83204765,4.039381168,5.928353123,3.818446453,2.221880024,31.33730887,0.3410514313,14.31781667,4.064321512,34469.42928
731,1997,4,10,1997-04-10,20:35:00,3,TX,48,43,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.03,0,33.48,-101.12,33.48,-101.12,0.2,50,0,1997-04-10 20:35:00,20,1997,321.868,35.90840403,2,11557.76619,Apr,568177502.6,274,0.002475116517,0.001150262925,0.0003318032446,0.0003923893228,0.0002515769035,0.0001836259929,0.001324853593,0.0003754016246,0.0004197857571,0.0002811334475,0.0002394002243,0.001858258986,0.000111157597,0.001339680945,0.0001594701368,37443.1764
147,1997,5,2,1997-05-02,18:40:00,3,GA,13,11,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.1,0,34.8,-85.37,34.87,-85.3,10,100,0,1997-05-02 17:40:00,17,1997,16093.4,71.81680806,4,1155776.619,May,56817750262,285,63.3195044,31.08869138,8.31137202,12.63735499,6.940928992,3.152659055,32.23081302,8.271063397,12.7700411,7.382328406,3.853756433,60.76920761,1.949996732,24.91269434,4.778748566,52618.30407
718,1997,5,27,1997-05-27,14:40:00,3,TX,48,94,5,12,27,27,0,0,0,0,0,0,0,0,0,13,14,0,14,10,3,0,0,40,0,30.82,-97.62,30.77,-97.67,5.1,650,0,1997-05-27 14:40:00,14,1997,8207.634,466.8092524,39,3831399.491,May,439973835390,293,65.32774378,32.45865271,9.912081714,12.19629297,6.964321226,3.156408434,32.86909107,10.3321081,12.65953674,6.982764782,3.124229817,56.69976256,0.6720285315,23.9324973,8.357227681,58658.1487
722,1997,5,27,1997-05-27,15:50:00,3,TX,48,98,4,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,0,30.37,-98.02,30.33,-97.98,5.6,440,0,1997-05-27 15:50:00,15,1997,9012.304,315.9939555,6,2847833.589,May,279087218203,295,221.0024238,110.4276339,27.51340363,33.31966338,32.32264209,17.09131105,110.57479,24.03635645,36.55050221,31.57346858,18.59507645,213.3755112,2.282751274,104.4824551,2.56613777,106132.0632
843,1997,7,2,1997-07-02,15:45:00,3,MI,26,12,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3.8,0,43.18,-83.62,43.18,-83.62,1.7,1500,0,1997-07-02 14:45:00,14,1997,2735.878,1077.252121,2,2947230.378,Jul,254870890352,307,44.08517811,21.24064971,5.570431329,8.033159638,5.584819566,1.90141439,22.8445284,6.014368257,9.180635894,5.800513987,1.999835052,43.10508538,0.4879687843,16.03648984,0.1759003166,70324.3535
846,1997,7,2,1997-07-02,16:32:00,3,MI,26,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,42.83,-83.57,42.83,-83.57,0.3,23,0,1997-07-02 15:32:00,15,1997,482.802,16.51786585,1,7974.85867,Jul,392042476.8,308,0.009445596905,0.004757226207,0.001229320804,0.001898078299,0.001228612342,0.0003601835304,0.004688370697,0.001255971865,0.001869244273,0.001167193761,0.0004369920307,0.008798781499,0.0004870373071,0.003434078562,6.15E-05,94520.0293
912,1997,7,23,1997-07-23,18:26:00,3,ND,38,14,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.05,0,48.5,-101.7,48.5,-101.7,0.2,30,0,1997-07-23 18:26:00,18,1997,321.868,21.54504242,3,6934.659713,Jul,457192367.3,315,0.000407938526,0.0002052554612,4.85E-05,6.48E-05,5.20E-05,3.68E-05,0.0002026830648,5.07E-05,6.06E-05,4.88E-05,4.58E-05,0.0003982768762,1.78E-06,0.0002181685213,2.91E-05,43159.7906
793,1997,7,23,1997-07-23,21:53:00,3,SC,45,11,2,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.92,0,33.85,-81.05,33.88,-81.02,3.5,200,0,1997-07-23 21:53:00,21,1997,5632.69,143.6336161,7,809043.6332,Jul,53339109522,316,33.14741307,16.4977515,5.022643263,7.079987983,3.287121346,1.023333365,16.64966157,4.798428951,7.317636836,3.411534081,1.20672724,20.43870316,12.06305676,13.84927586,7.941568249,48356.6569
484,1997,8,16,1997-08-16,13:10:00,3,PA,42,11,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,41.38,-76.48,41.38,-76.48,0.5,50,0,1997-08-16 13:10:00,13,1997,804.67,35.90840403,1,28894.41547,Aug,1420443757,322,0.008664482186,0.004373120363,0.001015357178,0.001485533394,0.0009721639286,0.0008805196539,0.004291361823,0.0009487903007,0.001399914604,0.0009362297146,0.001025973412,0.00818204506,0.00026751419,0.006669214315,0.0006424308411,40437.4674
