,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
470,1250,1998,9,3,1998-09-03,6:28:00,3,SC,45,2,4,1,0,1,0,0,0.36,0,-80.43,32.35,-80.45,32.52,18,80,Tornado,#008000,1998-09-03,6,1998,28968.12,57.45344645,5
474,1310,1998,9,10,1998-09-10,17:15:00,3,LA,22,2,6,1,0,1,0,0,0.5,0,-90.35,29.55,-90.4,29.57,4,50,Tornado,#008000,1998-09-10,17,1998,6437.36,35.90840403,7
494,660,1998,10,17,1998-10-17,9:15:00,3,TX,48,2,4,1,0,1,0,0,0.1,0,-96.63,31.97,-96.63,31.97,3.5,100,Tornado,#008000,1998-10-17,9,1998,5632.69,71.81680806,5
496,1318,1998,10,18,1998-10-18,5:25:00,3,TX,48,2,1,1,0,1,0,0,0.07,0,-95.93,29.82,-95.93,29.82,1,50,Tornado,#008000,1998-10-18,5,1998,1609.34,35.90840403,2
504,49,1999,1,2,1999-01-02,0:45:00,3,TX,48,2,10,1,0,1,0,0,1.27,0,-93.97,30.35,-93.77,30.52,4.5,250,Tornado,#008000,1999-01-02,0,1999,7242.03,179.5420202,11
513,748,1999,1,17,1999-01-17,18:25:00,3,TN,47,4,106,6,4,1,1,0,10,0,-88.88,35.58,-88.68,35.63,16,500,Tornado,#FF0000,1999-01-17,18,1999,25749.44,359.0840403,112
514,751,1999,1,17,1999-01-17,18:35:00,3,TN,47,1,4,1,0,1,0,0,0.41,0,-89.18,35.02,-88.97,35.07,12,350,Tornado,#0000FF,1999-01-17,18,1999,19312.08,251.3588282,5
516,750,1999,1,17,1999-01-17,19:05:00,3,TN,47,1,1,1,0,1,0,0,0.75,0,-88.67,35.97,-88.55,35.98,10,0,Tornado,#0000FF,1999-01-18,19,1999,16093.4,0.7181680806,2
520,81,1999,1,21,1999-01-21,16:46:00,3,AR,5,2,2,2,0,1,1,0,0,0,-91.95,35.2,-91.87,35.28,16,0,Tornado,#008000,1999-01-21,16,1999,25749.44,0.7181680806,4
524,100,1999,1,21,1999-01-21,18:20:00,3,AR,5,2,3,1,0,1,0,0,0,0,-91.7,35.5,-91.57,35.6,11,350,Tornado,#008000,1999-01-21,18,1999,17702.74,251.3588282,4
525,103,1999,1,21,1999-01-21,18:24:00,3,AR,5,3,72,3,0,1,2,0,0,0,-92.42,34.55,-92.22,34.82,39,417,Tornado,#FFAA00,1999-01-21,18,1999,62764.26,299.4760896,75
528,113,1999,1,21,1999-01-21,19:25:00,3,AR,5,3,29,2,2,0,0,0,0,0,-91.92,35.05,-91.8,35.13,8,1000,Tornado,#FFAA00,1999-01-22,19,1999,12874.72,718.1680806,31
534,790,1999,1,22,1999-01-22,3:20:00,3,TN,47,3,5,1,0,0,1,0,1,0,-88.17,36.05,-88,36.23,15,220,Tornado,#FFAA00,1999-01-22,3,1999,24140.1,157.9969777,6
539,187,1999,3,2,1999-03-02,18:55:00,3,TX,48,3,6,1,1,0,0,0,0.75,0,-93.9,30.9,-93.82,30.9,12,500,Tornado,#FFAA00,1999-03-02,18,1999,19312.08,359.0840403,7
545,227,1999,4,3,1999-04-03,15:52:00,3,LA,22,4,102,7,0,6,1,0,7.94,0,-93.83,32.53,-93.6,32.75,19.3,200,Tornado,#FF0000,1999-04-03,15,1999,31060.262,143.6336161,109
560,925,1999,4,8,1999-04-08,19:45:00,3,IL,17,1,6,1,0,1,0,0,1.75,0,-90.12,39.8,-89.98,39.9,9.3,333,Tornado,#0000FF,1999-04-08,19,1999,14966.862,239.1499708,7
562,927,1999,4,8,1999-04-08,21:35:00,3,IL,17,1,3,1,0,1,0,0,0.15,0,-88.73,40.07,-88.68,40.1,3.5,100,Tornado,#0000FF,1999-04-09,21,1999,5632.69,71.81680806,4
564,850,1999,4,9,1999-04-09,3:12:00,3,OH,39,4,65,4,2,0,2,0,85,0,-84.37,39.23,-84.23,39.3,10,270,Tornado,#FF0000,1999-04-09,3,1999,16093.4,193.9053818,69
565,857,1999,4,14,1999-04-14,21:52:00,3,MS,28,3,33,1,0,1,0,0,6.8,0,-89.47,31.7,-89.12,31.88,25.5,880,Tornado,#FFAA00,1999-04-15,21,1999,41038.17,631.9879109,34
568,892,1999,4,15,1999-04-15,18:15:00,3,NC,37,2,4,1,0,1,0,0,0.2,0,-79.13,34.68,-79.13,34.68,0.3,0,Tornado,#008000,1999-04-15,18,1999,482.802,0.7181680806,5
579,1147,1999,5,3,1999-05-03,17:26:00,3,OK,40,5,583,36,23,9,4,0,1000,0,-97.85,35.13,-97.43,35.45,37,1430,Tornado,#FF00FF,1999-05-03,17,1999,59545.58,1026.980355,619
581,884,1999,5,3,1999-05-03,19:13:00,3,KS,20,4,150,6,0,4,2,0,140.75,0,-97.4,37.32,-97.33,37.7,24,880,Tornado,#FF0000,1999-05-03,19,1999,38624.16,631.9879109,156
583,1185,1999,5,3,1999-05-03,20:05:00,3,OK,40,2,10,1,0,1,0,0,0.75,0,-97,35.37,-96.85,35.53,18,150,Tornado,#008000,1999-05-04,20,1999,28968.12,107.7252121,11
584,1190,1999,5,3,1999-05-03,20:10:00,3,OK,40,4,11,1,1,0,0,0,2.5,0,-97.95,35.93,-97.78,36.07,15,880,Tornado,#FF0000,1999-05-04,20,1999,24140.1,631.9879109,12
585,1172,1999,5,3,1999-05-03,20:25:00,3,OK,40,4,26,2,1,0,1,0,13.11,0,-97.68,35.88,-97.23,36.32,35,1760,Tornado,#FF0000,1999-05-04,20,1999,56326.9,1263.975822,28
590,285,1999,5,4,1999-05-04,13:04:00,3,TX,48,3,22,1,1,0,0,0,125.34,0,-95.17,33.18,-94.18,33.83,71.5,50,Tornado,#FFAA00,1999-05-04,13,1999,115067.81,35.90840403,23
594,1031,1999,5,5,1999-05-05,19:20:00,3,TN,47,4,0,3,3,0,0,0,0.29,0,-87.92,35.57,-87.83,35.63,6,580,Tornado,#FF0000,1999-05-05,19,1999,9656.04,416.5374868,3
597,1075,1999,5,11,1999-05-11,17:05:00,3,TX,48,4,6,1,1,0,0,0,0.75,0,-99.1,30.68,-99,30.65,7,1400,Tornado,#FF0000,1999-05-11,17,1999,11265.38,1005.435313,7
598,394,1999,5,16,1999-05-16,15:16:00,3,IA,19,3,16,2,0,0,2,0,1.9,0,-95.87,41.6,-95.75,41.67,7.5,440,Tornado,#FFAA00,1999-05-16,15,1999,12070.05,315.9939555,18
599,1100,1999,6,1,1999-06-01,16:35:00,3,OK,40,3,5,2,0,2,0,0,1.5,0,-95.25,35.97,-95.25,35.9,2,350,Tornado,#FFAA00,1999-06-01,16,1999,3218.68,251.3588282,7
600,458,1999,6,1,1999-06-01,17:58:00,3,IL,17,3,4,1,0,0,1,0,0,0,-89.67,39.32,-89.53,39.43,10,200,Tornado,#FFAA00,1999-06-01,17,1999,16093.4,143.6336161,5
603,1289,1999,6,4,1999-06-04,18:30:00,3,SD,46,2,54,1,0,1,0,0,3.2,0,-102.85,43.05,-102.7,43.22,15,0,Tornado,#008000,1999-06-04,18,1999,24140.1,0.7181680806,55
612,466,1999,8,11,1999-08-11,12:41:00,3,UT,49,2,80,1,0,0,1,0,170,0,-111.87,40.73,-111.87,40.73,4.3,150,Tornado,#008000,1999-08-11,12,1999,6920.162,107.7252121,81
